userId,itemId,rate,summary
AED3CYXRK2RUCAGWLUCOZTFOFSPQ,B00WS63GZK,5.0,Cheap n good
AGGUGXMFDDRETUY3BXX4O6UOZDCQ,B004RFGALC,5.0,Works as described
AHLQVTMMUEVHAPRYQD6KJH2EIDOA,B00S51XM5Q,2.0,Can't run at rated speed with XMP
AG26DL64MW2KGNDTMV5HJZSVEFNQ,B0123ZAQJE,5.0,Reliable.
AEVM3B3XGPNWUFS5RNJWMYGS2FAQ,B00DQGBYDC,5.0,"Good, works like it should"
AEKDJAMCFO7NRWEOHVSKXTEAUYMA,B00UYTTLI4,5.0,Consider changing your motherboard thermal pad and GPU thermal pad if needed
AGAY7CPRLVY24VHVYCX76YS4R3UQ,B0134EU9YA,5.0,Decent ram
AHSRRA4O3WJJ7S6RBMG7KP2CB5GQ,B00CSW4BGW,5.0,Quality worth every cent
AG6SH4SYVPEHQNUMLUAB7FKB6YZQ,B004WO8HQ4,1.0,Na
AETQ4AA4SA2DTAFW4FJ57XOI2TVQ,B00J8V1INU,4.0,"Light, looks small but able to put a lot of stuff"
AFKWJL2ZEZT5O2FZJFIHGFOCHD2Q,B00LGGVOL6,5.0,Small yet sturdy
AH375MQT6DKLWUBK3TSQVBOLXQYA,B002NU5O9C,5.0,Product meets expectations
AHFX3UF6B3PRMFZ2GRYNESQGI2SA,B0076W9Q4Q,5.0,Great shopping experience
AEKXQAEN24TPE3EYEJUXG3S5OBXQ,B0000BZL0U,5.0,Genuine B+W filter at reasonable price
AFBHDSIR6CJHDLGM5PHCGT4I3HJQ,B00MYTSN18,4.0,Needed to install driver
AF7TVVMHXMAJPJNEAN5FHFZ6E2MQ,B00004ZCJJ,2.0,Does not seem to be brand new
AGFUFK3DOUO2UK4HBVGDRETIIHTA,B00XUV3JTK,4.0,Buy the AMD mounting kit as well
AF5QN6EHFR4ZZ6FCKEMZ3T4TTT2A,B00NH13K8S,1.0,Did not work
AHAEWDPADAU2NTPASYXY3BU4YZTA,B00AQUO5RI,5.0,Great speakerphone for internet calls
AE5LV6G2IQ3XDRR4EU6JL2EM2Y7Q,B00XU1GDZM,2.0,Donâ€™t waste your money
AGIBBYZVYLR7IFYRMIFAWZE3T5WA,B0123ZAUAO,5.0,Works well
AGJTZN4L5BPRNXGAF5J45GQ43BWQ,B0006BB9MG,5.0,Very Useful Product!
AFEGB6Q3GUJRJ4NA3KN7VCRL5GJQ,B011TW8UT0,5.0,Perfect Fit!
AGIBBYZVYLR7IFYRMIFAWZE3T5WA,B00FO0DDPA,5.0,Works perfectly
AGHFTWYLMVYY7DYN7L7R3YGWSBFQ,B01CZ8BC4M,5.0,Breakthrough NEVER disappoint
AEL6GS7NN3S2FTXZ3VU7JOQYBYSA,B00FPAVUHC,1.0,Scam. This was a counterfeit
AGSQ45M3B7IHBTBUROMCEFWV3BXA,B00NH13K8S,5.0,Works great!
AEDBF73WRJXL3PBLDM3XDE7NGCYA,B00UVN2C8O,1.0,"If building a new computer and there is any error, immediately get a refund"
AEGRYA2ELTJWRHRSO3AJNWY6FJCQ,B001GI5CSA,5.0,Great spacey sturdy machine of a bag
AHRR7O3L54YZ2PL6XQGQXNSBXNOA,B00BP8UHF4,5.0,Easy to use and travel with
AGXNJWIAYKHIQ3GTXNV4KLCGSGBQ,B00NAMU8NO,5.0,Only choose this brand for the HDD Caddy. Won't consider other generic brands.
AF3QNPMCP2F3C4JSTFPTVVF64CPA,B0076W9Q5A,5.0,"no issue at all, tested on razer and dell."
AEFZXNSOTKUNXPHHUJZOLH2ASDKQ,B00LL3O236,5.0,Value for Money
AFHZ7OQLZIG7P3UFWAT353UJRFIA,B006U3O566,5.0,Product quality
AGKMMJVGTIAH2TSG72TUFPFEKMTA,B001H1VB18,5.0,Genuine Filters that works well
AEKJENLK2DOHA5WMPAVOY6UBO2AA,B004SP0WAQ,5.0,Good and works well !
AHGHZ257QONNBNNTKLOLQ7UPVEKQ,B018YKTD1Y,5.0,So far so good - used 10 times in 3 weeks
AEXVS54OZKGOCUJQEUYUTKC5QV4A,B007K3TK4W,5.0,Easy to use
AEJYFCOU2KJQM5SHU7OW26MV5ZVQ,B01BUSN07K,5.0,Useful tool
AE3S3WQSPQ45KQSJ4LDJ75T7TCQQ,B00006HOKW,4.0,sturdy build
AFQO2KKMU3ZCK7BJPQMT67FB2OPQ,B01GGKYXVE,5.0,Super Type-C cable durable amd high quality!
AEAQXI6NF2BSAUJNLEC4Q6KHREOQ,B00OVVTA28,3.0,pencil doesnt charge through the cutout
AEINYTIMOQUE7MT3BEJ5Y24UXFAQ,B000CSIUWA,5.0,Fits like a champ and more.
AFMSZW6OPMLTLKHC6G6VPKJCLGDQ,B01CZ8BC4M,4.0,Is brass.
AGNTWK27NQIJLRTRT7ZSI2XPJLLQ,B01GCGKBWC,4.0,Works for 4K @ 60hz
AGEBWSVPTOOKPYQIP6SCRW2GJMGA,B00KF7MVI2,5.0,noctua value
AFZNISMI72WTRHRUNGZAHA247STA,B00UFBZOKK,5.0,Great for Ryzen
AERH2FUU7DYNFSNQSRNLML3MIG2A,B01D5H8JW0,5.0,Worked
AEF7WWRD3K6WULAYJS62RDMQFTCA,B00009KH63,5.0,Really great product
AHELRWCL7DEGDHBV2GEQ72JEYMTA,B00NH13K8S,5.0,Great value.
AEDL6RJ5H3ETJ4KT2BQA5WDM5BSQ,B00I0QZMPE,5.0,working well for me
AG4RNFD4G4XSD3VYGOA6A3LILMXQ,B001Q21Y0G,4.0,No faults but the condition...
AEGFDVPDNHORI7WBILGWDRAOYREA,B001CCGYU0,2.0,"Cheap, basic fan"
AE5RW4OY6NFYZHJTFGI6KUHOJIQQ,B000BTL0OA,5.0,Good router despite not being the newest model.
AHZEDYA24L5RWYY6AUOORTWYXU3A,B007JNWCDE,5.0,Genuine Product
AEVRA5VMA5HSEGWNCW5JPTXURU2A,B00KL7C10O,3.0,Good Quality Product
AGV4TIE72NESJCUDHOTUIDAZBJ4A,B01FW5DP0E,5.0,Great buy
AEKNSJTV4LQP5G55A57DLRORZFAA,B000UXZQ42,3.0,Logitech Headphone
AEDFGSSEN3C6AJMJOVJ5NF6YSLIQ,B01GGKYXVE,5.0,Good cable works on phone too
AFK7H7FSXC53JBSPMU5NJLOE36BQ,B00OHVZTTK,2.0,Broken after 3 months
AHEKD5Q25H57GAMB5HQTRBJBLVXA,B00S51XM5Q,1.0,Faulty RAM
AHWR6BIAF2BLBUJVR5LJYSXJ76YQ,B01GGKYXVE,5.0,Works as expected
AHUONRQ7OO35NSW5RGZVEXIRDZ5A,B00PIMKN1Q,5.0,Love it. Highly recommended!
AECIXA63QV47XSXVBQJO2XQZAUKA,B004FHO5Y6,5.0,Logitec C270 - recommend it for use with webinars and zoom etc
AG6YMSC2VVM2WGVKK4F5IH3H2BTQ,B00WTQDV5E,4.0,A lot of sound for not a lot of money. Perfect home listening headphones.
AEAWVPV67ODN2AOOQJOGVMO3XG3A,B00K8942SO,4.0,No warranty in Singapore
AH7DVCC5IQWKIEVYELZ7C7RVBRKQ,B00WTQDV5E,5.0,SHP9500 for audiophiles? Not anymore once you try the X2HR...
AHHAWJDHJWTNLQB6NMZX3K57IDPA,B0009PTBZ6,5.0,For my ps4
AGCJ2NTZQ32HYIGTA537G6AZIFYQ,B009ZIILLI,1.0,Not plug and play
AHN4L3OO55A3GUAFTRWYCCXNM7QQ,B00P0ES0YE,5.0,Works as expected.
AEI6G2P7UEMTJYHQUFPKPG7GDTNA,B00BD8I3EI,5.0,"Easy to install and use, good value for money"
AGYFDJ3GHBFD53IZ5RDDNHGJDV5A,B00NH13K8S,5.0,Delivered on time
AHL7IBYPYKNTRMNCQP2G24ZOVQXA,B007OXMHDE,5.0,Simple yet effective
AEPTVI45H7GUY2RHG32YXXU4WLXQ,B0123ZAQJE,5.0,Value for money ram!
AELAE6XOECFWXYIUI3WOX5OIY77Q,B019FRCQAK,5.0,Fit Optiplex 7050
AE3JW6R2VOF2KSIEAHLYPCTX7QRQ,B00FPAVUHC,4.0,You need a mouse pad
AGHDFOJQHV7WCUIBOUB7IC3DZPZA,B0169AKOSW,5.0,iPhone Lightning cable
AEX5JABWFEVECV2BMUMS7CBVNTEQ,B00BCWALHM,5.0,Good product at great price
AHY25D7XZXKQUJLEXLI23ZGEYRMQ,B019FRDAY6,5.0,"Great quality, efficient service & speedy delivery"
AGEQBGHPALUXWYM467IKEAFA2H3Q,B007K3TK4W,1.0,Check parts details before purchasing
AGQNPLHNO6RDUVHOSX43AOVUMQTA,B008F4USMS,5.0,Great product
AH6CYWDANNMLVD2GT2PD4XHBEFXQ,B01DBV1OKY,4.0,Product well received
AGC5X3ES5N5YUPGELCNNPDPM3J6A,B00009R86L,4.0,Shoulder Pad thickness not even .
AHGIRW5YY5FT6B4CUGMVPQKOXHIA,B008F4USMS,5.0,Audio quality
AGRYBQGCGY4WSE53ZRZLIP76UGHA,B01GCGKBWC,3.0,Ok product.
AFWJ27NJ5NTFAUVSQR3K3RV2X46Q,B00HL862QK,5.0,I recommend it
AHKGEW6OF334SFZJYPKKPSDVGFKQ,B00OZHGVSY,5.0,Good quality cable.
AGYOQMW6B3572DVYI57BLOFMX44A,B005WXOV82,1.0,Review
AEUJMV7MPMURORVUAAYK2RW7Q2MQ,B0076W9Q5A,5.0,Serves its purpose
AHEXVIKWVGVCBMHHZFEVKSVRKYXQ,B006JRIDHK,5.0,Thumbs up
AHEKD5Q25H57GAMB5HQTRBJBLVXA,B00UVN2C8O,1.0,Faulty RAM
AFBM674JY2B2T576PIJAHX6DS4VA,B00KQCOV5C,5.0,Trust me.. 8GB is not enough!
AGFLVH4URPWOUGDNCB5YXHYBLYTA,B00EB6O4N8,5.0,"First time building a PC, glad I got this"
AEMISHDLFLPDLXLXYKMNNIOK6JHA,B00C9FLSLY,5.0,Better than i expected
AETTESS77AMGXFO3BTAORDXXBBXQ,B00NH12O5I,1.0,Does Not Provide USB 3.0 Connection
AEDBF73WRJXL3PBLDM3XDE7NGCYA,B00OTJZTZE,1.0,"If building a new computer and there is any error, immediately get a refund"
AHL3QWDYSLV3QJCWNJH4ZHFEBVGA,B00LN3LQKQ,5.0,Good service
AGH4275B2V6QKX4GOBGCDDK6J3OQ,B00FE690DI,1.0,Monitor does not work and cannot seem to find any troubleshooting
AGK4UNVICA35ZFHUQPJ7RKA2XU6Q,B005QXX0MG,5.0,Solid bag
AG3SWFDRJ3AVS65GJ4RUEE3ESN3A,B001CCGYU0,5.0,Works for Dell Vostro 220s
AF7TVVMHXMAJPJNEAN5FHFZ6E2MQ,B00009KLAE,2.0,Does not seem to be brand new
AFKUZMYUOLGQ2TY3IHSRGGL26RXQ,B004FHO5Y6,5.0,good for laptop
AF7TVVMHXMAJPJNEAN5FHFZ6E2MQ,B00004ZCJI,2.0,Does not seem to be brand new
AF4ATTYOSOBM2JA5SZ3ZWH3CFKBA,B00T9N2SOA,4.0,This binocular is very solid and seems robust
AFPIS74WN6UTKWSREQIENYF67JAQ,B001MSS6CS,4.0,Works well for what it is
AGSNDU4VDHDOFGIAWPSFH76UMBLA,B00VWEK4IG,5.0,Works as advertised
AEPOUXHT22AWZTCWW3MHZTWSEXHA,B00FE690DI,5.0,Product is as advertised
AEED2EW7XZOQM3O3AVLBWOX6BUHA,B004JZI78O,5.0,Pretty darn good for the price!
AFR3SEK6XUHN2E75JYU327RXBQKQ,B004861K1A,5.0,Perfect Filter for an expensive lens.
AG2O2UGR5ZWYZEL2O2ZZJ4B45KMQ,B00B2HOKKQ,5.0,"Works well, arrived on time"
AGSMB3BF2QC55UI336V6656GZ7XA,B00LL3O236,5.0,Good product worth the money
AHLQVTMMUEVHAPRYQD6KJH2EIDOA,B00UVN2C8O,2.0,Can't run at rated speed with XMP
AE2RGTOVTDF2Q2W4FRCWIWDYO7BA,B016XXY0YE,4.0,great case!
AF2YV6NIOEIOZ3WS2PWKP374ZOFA,B0000BZL0U,5.0,Only the best for all my lenses.
AGAY7CPRLVY24VHVYCX76YS4R3UQ,B00KV9TQXM,5.0,Great buy. Worth the price.
AGPCXTIOOGR2J5C3JV2NCOU273OA,B00NNMB3KS,3.0,Item received
AGM5GSJ4XSYDDTR4QDDQHQSQT3GA,B004WO8HQ4,5.0,clear images for video meetings / good price
AHJJ3GCKR42ZYPUYA6WGS3C2MT3A,B005LDLP8W,5.0,Inexpensive memory expansion
AGGUGXMFDDRETUY3BXX4O6UOZDCQ,B004UPTEH6,5.0,Works as described
AGUHZ6V6IGA66NN7ILL6XXWFBJ7Q,B00CMVE2AO,4.0,"Solid product, works with various screen sizes"
AGPXWCK5F67RW7VHAVW7DOYOJULQ,B00EB6O4N8,5.0,Good for cooling instead of bling.
AG644F2D2CY4NEHW6ANIA6HMH5HA,B000BTYEHA,5.0,Helps me to reduce daylight brightness in my shots.
AELC5AH4VNE6KOROQTD2HEMH3QLQ,B00KQCOV5C,5.0,Value for Money
AEB2TDEJM7PWJXH5K6K3J7D2AU7A,B006QKXURS,5.0,Good quality 3rd party replacement parts
AH4ODX4TBSCH46SP73NOKTKBMESQ,B000OPWSYM,3.0,Not quite good.
AHBWWG4APZMAVQSREETXHJJCR4FA,B00UFBZOKK,5.0,Great low profile ram!
AEKMN33G44DRZ32Y36JZXDOY2FFA,B017GTNN3S,5.0,Good price for authentic original Fuji lens hood
AGIBBYZVYLR7IFYRMIFAWZE3T5WA,B00S51XHUQ,5.0,Works well
AGCQGF2FDSMOYD6DDHBZ225TCYAQ,B00LM0U8I6,5.0,Cable works as promised.
AGFRYGDTKWESZ2GPMUDG5VIRMI4Q,B00I8OH1VQ,5.0,Product received in good condition and served its purpose
AFCUHRX3JWQQL5OA47WXQHWLZXAA,B00VMH7PQM,5.0,Good quality
AEIGYLJL3RXY4OZRZX3RIRSG6WOQ,B00BP8UHF4,4.0,Rubber gasket fell out.
AFCDIUXWBG55MMTYESBWYDXNUEWA,B00W4ZLZP8,5.0,Good value
AEQDNOSZPM3WZNN4Y7676ICY5GGQ,B00KYK2AKO,3.0,Sandisk USB3 thumb drive
AFZNISMI72WTRHRUNGZAHA247STA,B00OTJZNI2,1.0,Cannot run at rated speed
AFQ4PLLOQTOKM3JIDGH4DUK2GW3Q,B00B2HOPZ6,5.0,Value for money
AFQT3ZPJC7ZWJOD66YRX7ICCY6NQ,B00NMTXYN6,5.0,Comfortable & Works great!
